time,height,momentum_x,bathymetry,totalHeight
0,10,0,0,10
1.00964,10,0,0,10
2.01927,10,1.47731e-27,0,10
3.02891,9.99999,6.72068e-05,0,9.99999
4.03855,9.96592,0.336541,0,9.96592
5.00781,9.54866,4.30716,0,9.54866
6.01745,8.85981,10.2708,0,8.85981
7.02709,8.27369,14.7566,0,8.27369
8.03674,7.83876,17.7266,0,7.83876
9.00598,7.54995,19.5267,0,7.54995
10.0156,7.36918,20.5828,0,7.36918
11.0252,7.28784,21.0405,0,7.28784
12.0349,7.26434,21.1708,0,7.26434
13.0041,7.26107,21.1889,0,7.26107
14.0138,7.26158,21.186,0,7.26158
15.0234,7.26233,21.1819,0,7.26233
16.033,7.26288,21.1788,0,7.26288
17.0023,7.26327,21.1767,0,7.26327
18.0119,7.26357,21.175,0,7.26357
19.0216,7.26378,21.1739,0,7.26378
